site_code,perf_top_ft,perf_bottom_ft
389464N1228892W001,0,30.000
389587N1228545W001,198.000,208.000
389592N1228391W001,36.000,110.000
389765N1228285W001,30.000,55.000
389815N1228559W001,37.000,235.000
390175N1228682W001,59.000,86.000
390186N1228813W001,62.000,68.000
390186N1228813W001,90.000,118.000
390202N1228500W001,112.000,220.000
