"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-01-21",,,"3.23","0.0","0.0",,"56","47","55"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-01-22",,,"0.73","0.0","0.0",,"56","51","56"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-01-23",,,"4.07","0.0","0.0",,"56","50","55"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-01-24",,,"2.26","0.0","0.0",,"55","40","41"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-01-25",,,"0.08","0.0","0.0",,"54","35","49"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-01-26",,,"0.63","0.0","0.0",,"49","43","47"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-01-27",,,"2.25","0.0","0.0",,"52","36","41"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-01-28",,,"0.00","0.0","0.0",,"56","25","40"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-01-29",,,"0.00","0.0","0.0",,"49","22","40"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-01-30",,,"0.00","0.0","0.0",,"51","31","47"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-01-31",,,"0.00","0.0","0.0",,"61","33","47"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-01",,,"0.00","0.0","0.0",,"57","42","51"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-02",,,"0.00","0.0","0.0",,"62","28","49"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-03",,,"0.00","0.0","0.0",,"64","31","58"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-04",,,"0.00","0.0","0.0",,"65","31","58"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-05",,,"0.00","0.0","0.0",,"60","36","54"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-06",,,"0.00","0.0","0.0",,"64","36","58"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-07",,,"0.00","0.0","0.0",,"61","29","52"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-08",,,"0.00","0.0","0.0",,"70","35","58"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-09",,,"0.00","0.0","0.0",,"68","35","59"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-10",,,"0.00","0.0","0.0",,"61","40","57"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-11",,,"0.09","0.0","0.0",,"59","37","58"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-12",,,"1.14","0.0","0.0",,"57","40","45"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-13",,,"1.48","0.0","0.0",,"53","31","44"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-14",,,"0.00","0.0","0.0",,"47","30","40"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-15",,,"0.00","0.0","0.0",,"49","36","45"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-16",,,"0.67","0.0","0.0",,"56","34","42"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-17",,,"0.00","0.0","0.0",,"59","31","49"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-18",,,"0.00","0.0","0.0",,"62","29","56"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-19",,,"0.00","0.0","0.0",,"66","20","59"
