site_code,measurement_date,rp_elevation,gs_elevation,ws_reading,rp_reading,ewm_measurement_issue_type_id,measuring_agency_code,comments
389392N1228729W001,1965-11-19 00:00,1593.730,1592.930,0,79.200,,1,
389392N1228729W001,1966-03-10 00:00,1593.730,1592.930,0,82.000,,1,
389392N1228729W001,1966-11-09 00:00,1593.730,1592.930,0,85.000,,1,
389392N1228729W001,1967-04-03 00:00,1593.730,1592.930,0,82.900,,1,
389392N1228729W001,1967-10-23 00:00,1593.730,1592.930,0,78.900,,1,
389392N1228729W001,1968-04-09 00:00,1593.730,1592.930,0,77.700,,1,
389392N1228729W001,1968-10-23 00:00,1593.730,1592.930,0,79.400,,1,
389392N1228729W001,1969-04-14 00:00,1593.730,1592.930,0,76.400,,1,
389392N1228729W001,1969-11-14 00:00,1593.730,1592.930,0,77.500,,1,
389392N1228729W001,1970-04-13 00:00,1593.730,1592.930,0,74.900,,1,
389392N1228729W001,1970-10-07 00:00,1593.730,1592.930,0,76.400,,1,
389392N1228729W001,1971-04-08 00:00,1593.730,1592.930,0,74.500,,1,
389392N1228729W001,1971-10-13 00:00,1593.730,1592.930,0,75.900,,1,
389392N1228729W001,1972-04-04 00:00,1593.730,1592.930,0,75.400,,1,
389392N1228729W001,1972-10-04 00:00,1593.730,1592.930,0,77.200,,1,
389392N1228729W001,1973-03-27 00:00,1593.730,1592.930,0,74.600,,1,
389392N1228729W001,1973-10-05 00:00,1593.730,1592.930,0,76.200,,1,
389392N1228729W001,1974-04-11 00:00,1593.730,1592.930,0,71.800,,1,
389392N1228729W001,1974-10-16 00:00,1593.730,1592.930,0,74.100,,1,
389392N1228729W001,1975-04-09 00:00,1593.730,1592.930,0,73.000,,1,
389392N1228729W001,1975-10-08 00:00,1593.730,1592.930,0,77.500,,1,
389392N1228729W001,1976-04-07 00:00,1593.730,1592.930,0,76.000,,1,
389392N1228729W001,1976-04-20 00:00,1593.730,1592.930,0,76.200,,1,
389392N1228729W001,1976-10-14 00:00,1593.730,1592.930,0,75.700,,1,
389392N1228729W001,1977-03-02 00:00,1593.730,1592.930,0,81.200,,1,
389392N1228729W001,1977-05-03 00:00,1593.730,1592.930,0,82.800,,1,
389392N1228729W001,1977-09-07 00:00,1593.730,1592.930,0,86.900,,1,
389392N1228729W001,1978-04-17 00:00,1593.730,1592.930,0,82.800,,1,
389392N1228729W001,1978-09-11 00:00,1593.730,1592.930,0,90.000,,1,
389392N1228729W001,1979-04-04 00:00,1593.730,1592.930,0,78.100,,1,
389392N1228729W001,1979-10-12 00:00,1593.730,1592.930,0,93.800,,1,
389392N1228729W001,1980-03-27 00:00,1593.730,1592.930,0,89.700,,1,
389392N1228729W001,1980-10-10 00:00,1593.730,1592.930,0,92.100,,1,
389392N1228729W001,1981-03-19 00:00,1593.730,1592.930,0,87.200,,1,
389392N1228729W001,1981-10-06 00:00,1593.730,1592.930,,,24,1,
389392N1228729W001,1982-04-07 00:00,1593.730,1592.930,,,24,1,
389392N1228729W001,1982-10-15 00:00,1593.730,1592.930,0,105.600,,1,
389392N1228729W001,1983-04-25 00:00,1593.730,1592.930,0,90.500,,1,
389392N1228729W001,1983-12-02 00:00,1593.730,1592.930,0,96.100,,1,
389392N1228729W001,1984-04-05 00:00,1593.730,1592.930,0,105.600,,1,
389392N1228729W001,1984-10-17 00:00,1593.730,1592.930,0,111.200,,1,
389392N1228729W001,1985-04-05 00:00,1593.730,1592.930,0,111.300,,1,
389392N1228729W001,1985-10-08 00:00,1593.730,1592.930,0,120.100,,1,
389392N1228729W001,1986-04-08 00:00,1593.730,1592.930,0,116.200,,1,
389392N1228729W001,1986-10-29 00:00,1593.730,1592.930,0,126.200,,1,
389392N1228729W001,1987-04-07 00:00,1593.730,1592.930,0,105.200,,1,
389392N1228729W001,1987-10-13 00:00,1593.730,1592.930,0,116.800,,1,
389392N1228729W001,1988-04-18 00:00,1593.730,1592.930,0,111.500,,1,
389392N1228729W001,1988-10-17 00:00,1593.730,1592.930,0,118.300,,1,
389392N1228729W001,1989-04-04 00:00,1593.730,1592.930,,,23,1,
389392N1228729W001,1989-10-13 00:00,1593.730,1592.930,,,18,1,
389392N1228729W001,1990-03-27 00:00,1593.730,1592.930,,,18,1,
389392N1228729W001,1990-10-09 00:00,1593.730,1592.930,,,18,1,
389392N1228729W001,1991-04-02 00:00,1593.730,1592.930,,,18,1,
389392N1228729W001,1991-10-02 00:00,1593.730,1592.930,,,18,1,
389392N1228729W001,1992-04-03 00:00,1593.730,1592.930,,,18,1,
389392N1228729W001,1992-09-30 00:00,1593.730,1592.930,,,18,1,
389392N1228729W001,1993-03-31 00:00,1593.730,1592.930,,,18,1,
389392N1228729W001,1993-10-28 00:00,1593.730,1592.930,,,18,1,
389392N1228729W001,1994-04-04 00:00,1593.730,1592.930,,,18,1,
389392N1228729W001,1994-09-30 00:00,1593.730,1592.930,,,18,1,
